Date,Totalflow
7/31/2017,21729
8/1/2017,22071
8/2/2017,21965
8/3/2017,22139
8/4/2017,23290
8/5/2017,24299
8/6/2017,20510
8/7/2017,20774
8/8/2017,20303
8/9/2017,20475
8/10/2017,20609
8/11/2017,21499
8/12/2017,21964
8/13/2017,17913
8/14/2017,20893
8/15/2017,21227
8/16/2017,20827
8/17/2017,21769
8/18/2017,22412
8/19/2017,22279
8/20/2017,18434
8/21/2017,21696
8/22/2017,19132
8/23/2017,19385
8/24/2017,19851
8/25/2017,20653
8/26/2017,21780
8/27/2017,19010
8/28/2017,22647
8/29/2017,22014
8/30/2017,22073
8/31/2017,20925
9/1/2017,17824
9/2/2017,20952
9/3/2017,19524
9/4/2017,21351
9/5/2017,19822
9/6/2017,19825
9/7/2017,22671
9/8/2017,24491
9/9/2017,22223
9/10/2017,15748
9/11/2017,19024
9/12/2017,17074
9/13/2017,21916
9/14/2017,21903
9/15/2017,21861
9/16/2017,22024
9/17/2017,19069
9/18/2017,21767
9/19/2017,21956
9/20/2017,21506
9/21/2017,22184
9/22/2017,21816
9/23/2017,22629
9/24/2017,18931
9/25/2017,21421
9/26/2017,19739
9/27/2017,19701
9/28/2017,19544
9/29/2017,21335
9/30/2017,20488
10/1/2017,14481
10/2/2017,21390
10/3/2017,22492
10/4/2017,22284
10/5/2017,21157
10/6/2017,22414
10/7/2017,23812
10/8/2017,20461
10/9/2017,23014
10/10/2017,23018
10/11/2017,22043
10/12/2017,21734
10/13/2017,22022
10/14/2017,23150
10/15/2017,20029
10/16/2017,21870
10/17/2017,21752
10/18/2017,21889
10/19/2017,21698
10/20/2017,22129
10/21/2017,21281
10/22/2017,18572
10/23/2017,21438
10/24/2017,21541
10/25/2017,21429
10/26/2017,21551
10/27/2017,21657
10/28/2017,22210
10/29/2017,18058
10/30/2017,21310
10/31/2017,21583
11/1/2017,21390
11/2/2017,22106
11/3/2017,21668
11/4/2017,23118
11/5/2017,18898
11/6/2017,21119
11/7/2017,21452
11/8/2017,21588
11/9/2017,21753
11/10/2017,22316
11/11/2017,23276
11/12/2017,19895
11/13/2017,21604
11/14/2017,21668
11/15/2017,22031
11/16/2017,22171
11/17/2017,22967
11/18/2017,23281
11/19/2017,21077
11/20/2017,22073
11/21/2017,20656
11/22/2017,21530
11/23/2017,22322
11/24/2017,22376
11/25/2017,21443
11/26/2017,18093
11/27/2017,21733
11/28/2017,21549
11/29/2017,22041
11/30/2017,17810
12/1/2017,22390
12/2/2017,22271
12/3/2017,18848
12/4/2017,22441
12/5/2017,22132
